_id,container_id,receptacle_model_id,address,zip,neighborhood
314923,230,74,1301 East Carson Street,15203,South Side Flats
314924,232,74,2130 East Carson Street,15203,South Side Flats
314925,233,74,1800 East Carson Street,15203,South Side Flats
314926,234,74,2400 Arlington Avenue,15210,Arlington
314927,235,74,300 Beltzhoover Avenue,15210,Beltzhoover
314928,236,74,54 South 13th Street,15203,South Side Flats
314929,237,74,2439 Brownsville Rd,15210,Carrick
314930,238,74,3801 Brighton Rd,15212,Brighton Heights
314931,239,74,929 Western Ave,15233,Allegheny West
314932,240,74,5230 Penn Avenue,15224,Bloomfield
314933,241,74,4801 Centre Ave,15213,Shadyside
314934,242,74,5173 Penn Avenue,15224,Bloomfield
314935,244,74,5854 Ellsworth Avenue,15232,Shadyside
314936,245,74,1018 W North Ave,15233,Manchester
314937,246,74,920 Western Ave,15233,Allegheny West
314938,247,74,947 Western Ave,15233,Allegheny West
314939,248,74,3639 California Ave,15212,Brighton Heights
314940,249,74,3800 Brighton Rd,15212,Brighton Heights
314941,250,74,806 Western Ave,15233,Allegheny West
314942,251,74,820 Western Ave,15233,Allegheny West
314943,252,74,427 E Ohio St,15212,East Allegheny
314944,253,74,948 Western Ave,15233,Allegheny West
314945,254,74,607 E Ohio St,15212,East Allegheny
314946,255,74,1549 Lowrie St,15212,Troy Hill
314947,256,74,1706 Lowrie St,15212,Troy Hill
314948,257,74,510 E Ohio St,15212,East Allegheny
314949,258,74,502 E Ohio St,15212,East Allegheny
314950,259,74,1614 Lowrie St,15212,Troy Hill
314951,260,74,402 East Ohio Street,15212,East Allegheny
314952,261,74,519 E Ohio St,15212,East Allegheny
314953,262,74,507 E Ohio St,15212,East Allegheny
314954,263,74,1619 Lowrie St,15212,Troy Hill
314955,264,74,426 E Ohio St,15212,East Allegheny
314956,265,74,3615 California Ave,15212,Brighton Heights
314957,266,74,3645 California Ave,15212,Brighton Heights
314958,267,74,3713 Brighton Rd,15212,Brighton Heights
314959,268,74,541 E Ohio St,15212,East Allegheny
314960,269,74,736 Brownsville Rd,15210,Knoxville
314961,270,74,2100 East Carson Street,15203,South Side Flats
314962,271,74,2222 East Carson Street,15203,South Side Flats
314963,272,74,2533 Pioneer Ave,15226,Brookline
314964,273,74,1530 Brownsville Rd,15210,Carrick
314965,274,74,2528 East Carson Street,15203,South Side Flats
314966,275,74,1938 S 18th St,15203,South Side Slopes
314967,276,74,1100 East Carson Street,15203,South Side Flats
314968,277,74,2028 S 18th St,15203,South Side Slopes
314969,278,74,2026 East Carson Street,15203,South Side Flats
314970,279,74,153 S 18th St,15203,South Side Flats
314971,280,74,601 Brownsville Road,15210,Knoxville
314972,281,74,1734 East Carson Street,15203,South Side Flats
314973,282,74,2116 Brownsville Rd,15210,Carrick
314974,283,74,2523 S 18th St,15210,South Side Slopes
314975,284,74,5817 Bryant Street,15206,Highland Park
314976,286,74,5115 Coral Street,15224,Bloomfield
314977,288,74,5724 Ellsworth Avenue,15232,Shadyside
314978,289,74,10 Childrens Way,15212,Allegheny Center
314979,290,74,806 Fifth Avenue,15219,Bluff
314980,291,74,806 Western Ave,15233,Allegheny West
314981,292,74,814 Brookline Blvd,15226,Brookline
314982,293,74,5400 Penn Avenue,15224,Bloomfield
314983,294,74,5906 Bryant Street,15206,Highland Park
314984,296,74,5724 Ellsworth Avenue,15232,Shadyside
314985,297,74,5819 Ellsworth Avenue,15232,Shadyside
314986,298,74,1801 Chislett Street,15206,Morningside
314987,301,74,3445 Ward Street,15213,Central Oakland
314988,303,74,1304 Fifth Avenue,15219,Bluff
314989,304,74,5215 Centre Ave,15224,Bloomfield
314990,305,74,5901 Ellsworth Avenue,15232,Shadyside
314991,306,74,547 Greenfield Ave,15207,Greenfield
314992,308,74,5941 Penn Avenue,15206,East Liberty
314993,309,74,5752 Ellsworth Avenue,15232,Shadyside
314994,310,74,5849 Ellsworth Avenue,15232,Shadyside
314995,311,74,1030 Fifth Avenue,15219,Bluff
314996,312,74,5901 Bryant Street,15206,Highland Park
314997,313,74,1420 Fifth Avenue,15219,Bluff
314998,315,74,301 Charles Street,15210,Knoxville
314999,316,74,7106 Edgerton Avenue,15208,Point Breeze
315000,317,74,5850 Ellsworth Avenue,15232,Shadyside
315001,318,74,5430 Penn Avenue,15206,Bloomfield
315002,319,74,5743 Ellsworth Avenue,15232,Shadyside
315003,320,74,6519 Penn Avenue,15206,Larimer
315004,321,74,1506 Fifth Avenue,15219,Bluff
315005,322,74,6235 Penn Avenue,15206,East Liberty
315006,324,74,5883 Ellsworth Avenue,15206,Shadyside
315007,325,74,5890 Ellsworth Avenue,15232,Shadyside
315008,327,74,3625 California Ave,15212,Brighton Heights
315009,328,74,1197 West Carson Street,15219,South Shore
315010,329,74,113 Merrimac Street,15211,Mount Washington
315011,330,74,720 Sherwood Ave,15204,Sheraden
315012,331,74,1437 E Steuben St,15205,Crafton Heights
315013,332,74,1338 Chartiers Ave,15220,Elliott
315014,333,74,3131 Chartiers Ave,15204,Sheraden
315015,334,74,2827 Chartiers Ave,15204,Sheraden
315016,335,74,1607 Broadway Ave,15216,Beechview
315017,336,74,2601 Chartiers Ave,15204,Crafton Heights
315018,337,74,2625 Chartiers Ave,15204,Crafton Heights
315019,338,74,2269 Noblestown Road,15205,Westwood
315020,339,74,1942 Broadway Ave,15216,Beechview
315021,340,74,1621 Broadway Ave,15216,Beechview
315022,341,74,4028 Beechwood Boulevard,15217,Greenfield
315023,342,74,1805 Morningside Avenue,15206,Morningside
315024,343,74,1001 Chartiers Ave,15220,Elliott
315025,344,74,1044 Goehring Street,15212,Spring Hill-City View
315026,345,74,930 Chartiers Ave,15220,Elliott
315027,346,74,111 Grandview Avenue,15211,Mount Washington
315028,347,74,2102 Broadway Ave,15216,Beechview
315029,348,74,1553 Broadway Ave,15216,Beechview
315030,349,74,122 Shiloh Street,15211,Mount Washington
315031,350,74,218 Shiloh Street,15211,Mount Washington
315032,351,74,167 Wabash St,15220,West End
315033,352,74,3045 Chartiers Ave,15204,Sheraden
315034,353,74,1461 Chartiers Ave,15204,Crafton Heights
315035,354,74,301 Virginia Ave,15211,Mount Washington
315036,355,74,162 Steuben St,15220,Elliott
315037,356,74,1461 E Steuben St,15205,Crafton Heights
315038,357,74,3860 Chartiers Ave,15204,Windgap
315039,358,74,725 Sherwood Ave,15204,Sheraden
315040,359,74,122 Shiloh Street,15211,Mount Washington
315041,360,74,123 Steuben St,15220,West End
315042,361,74,5 Grandview Avenue,15211,Mount Washington
315043,362,74,1427 Chartiers Ave,15220,Crafton Heights
315044,363,74,913 Chartiers Ave,15220,Elliott
315045,364,74,3018 Chartiers Ave,15204,Sheraden
315046,365,74,331 South Bouquet Street,15213,Central Oakland
315047,367,74,3400 Fifth Avenue,15213,Central Oakland
315048,368,74,2912 Sheraden Blvd,15204,Sheraden
315049,371,74,6 Bailey Avenue,15211,Mount Washington
315050,372,74,39 Wabash St,15220,West End
315051,373,74,500 South Main Street,15220,West End
315052,374,74,96 Virginia Ave,15211,Mount Washington
315053,375,74,175 Steuben St,15220,West End
315054,378,74,1505 Stratmore Ave,15205,Crafton Heights
315055,379,74,863 Steuben St,15220,Elliott
315056,380,74,212 Stratmore Ave,15205,Crafton Heights
